group	n_cells	n_patients	detected_cells	detection_pct	raw_transcripts_total	mean_raw_per_cell	mean_log1p_cpm_all_cells	n_kcnq1_positive	mean_raw_among_kcnq1_positive	median_raw_among_kcnq1_positive	mean_log1p_cpm_among_kcnq1_positive	median_log1p_cpm_among_kcnq1_positive
Primary normal epithelial	3368	5	480	14.251781472684085	857	0.25445368171021376	0.1071977715136779	480	1.7854166666666667	1.0	0.7521710301209733	0.606149080862711
Tumor intestinal patient	3368	14	370	10.985748218527316	531	0.1576603325415677	0.08492899362379155	370	1.4351351351351351	1.0	0.7730833797971081	0.6268160909807141
Tumor diffuse patient	3368	6	262	7.779097387173397	327	0.09709026128266034	0.05332851898211106	262	1.248091603053435	1.0	0.6855360760753819	0.4973203465165874
