state_final	cells	patients	median_intestinal_z	median_diffuse_emt_z	median_state_delta
Diffuse/EMT-like	2403	20	-1.38731891731171	1.66444710298881	-3.01686831780737
Indeterminate	2328	20	-0.220376253681343	-0.298061946366736	0.0836350330184687
Intestinal-like	4170	20	0.701214946031682	-0.653218406659823	1.37682615216674
