LINC00115	1	826205	827522
FAM41C	1	868070	876802
SAMD11	1	923922	944574
NOC2L	1	944202	959256
KLHL17	1	960583	965719
PLEKHN1	1	966481	975865
PERM1	1	975197	982093
HES4	1	998963	1000097
ISG15	1	1013496	1014539
AGRN	1	1020119	1056114
RNF223	1	1070966	1074306
LINC01342	1	1137016	1144054
TTLL10	1	1173879	1197935
TNFRSF18	1	1203507	1206592
TNFRSF4	1	1211339	1214153
SDF4	1	1216930	1232001
B3GALT6	1	1232236	1235040
C1QTNF12	1	1242452	1246722
UBE2J2	1	1253911	1273854
SCNN1D	1	1280435	1292029
ACAP3	1	1292390	1307930
PUSL1	1	1308579	1311677
INTS11	1	1311584	1324687
CPTP	1	1324801	1328896
TAS1R3	1	1331279	1335314
DVL1	1	1335277	1349418
MXRA8	1	1352688	1363541
AURKAIP1	1	1373735	1375207
CCNL2	1	1385710	1399342
MRPL20	1	1401908	1407293
ANKRD65	1	1418419	1421444
LINC01770	1	1430156	1434573
VWA1	1	1435689	1442882
ATAD3C	1	1449688	1470162
ATAD3B	1	1471764	1497848
ATAD3A	1	1512161	1534687
TMEM240	1	1534777	1540624
SSU72	1	1541672	1574863
FNDC10	1	1598011	1600135
MIB2	1	1615414	1630610
MMP23B	1	1632172	1634654
CDK11B	1	1635224	1659004
SLC35E2B	1	1661477	1692795
CDK11A	1	1702378	1724357
SLC35E2A	1	1724837	1745999
NADK	1	1751231	1780031
GNB1	1	1785284	1891117
CALML6	1	1915259	1917296
TMEM52	1	1917590	1919279
CFAP74	1	1921956	2003786
GABRD	1	2019344	2030758
PRKCZ	1	2050410	2185399
PRKCZ-AS1	1	2181793	2183875
FAAP20	1	2184459	2212720
SKI	1	2228318	2310213
MORN1	1	2321252	2391554
RER1	1	2391840	2405436
PEX10	1	2403973	2413827
PLCH2	1	2467450	2505532
PANK4	1	2508536	2526596
HES5	1	2528744	2530263
TNFRSF14-AS1	1	2549919	2557011
TNFRSF14	1	2556364	2565622
MMEL1	1	2590639	2633016
TTC34	1	2641268	2800868
PRDM16	1	3069202	3438621
ARHGEF16	1	3454664	3481113
MEGF6	1	3487950	3611508
TPRG1L	1	3625014	3630127
WRAP73	1	3630769	3650103
TP73	1	3652515	3736201
SMIM1	1	3772748	3775956
LRRC47	1	3778558	3796498
CEP104	1	3812085	3857211
DFFB	1	3857266	3885429
LINC01134	1	3900403	3915447
AJAP1	1	4654608	4792522
NPHP4	1	5862810	5992425
KCNAB2	1	5992675	6101180
CHD5	1	6101786	6180321
RPL22	1	6185019	6199595
RNF207	1	6206118	6221299
ICMT	1	6221192	6235964
GPR153	1	6247352	6261098
ACOT7	1	6264271	6393767
HES2	1	6415233	6419919
ESPN	1	6424775	6460944
TNFRSF25	1	6460785	6466195
PLEKHG5	1	6466091	6520092
NOL9	1	6521346	6554513
TAS1R1	1	6555306	6579755
ZBTB48	1	6579993	6589280
KLHL21	1	6590723	6602869
PHF13	1	6613730	6624030
THAP3	1	6624864	6635586
DNAJC11	1	6634169	6701816
CAMTA1-DT	1	6783891	6784980
CAMTA1	1	6785323	7769706
VAMP3	1	7771295	7781432
PER3	1	7784290	7845177
UTS2	1	7847611	7853491
TNFRSF9	1	7915870	7940839
PARK7	1	7961653	7985505
ERRFI1	1	8011726	8026309
SLC45A1	1	8318113	8344165
RERE	1	8352403	8817640
ENO1	1	8860999	8878686
ENO1-AS1	1	8878834	8879884
SLC2A5	1	9035105	9072259
GPR157	1	9100304	9129102
MIR34AHG	1	9148010	9182338
H6PD	1	9234773	9271335
SPSB1	1	9292893	9369531
SLC25A33	1	9539464	9585173
TMEM201	1	9588910	9614877
PIK3CD	1	9651730	9729114
PIK3CD-AS2	1	9672425	9687574
CLSTN1	1	9728925	9824526
CTNNBIP1	1	9848275	9910269
LZIC	1	9922117	9943391
NMNAT1	1	9942922	9985498
RBP7	1	9997227	10016021
UBE4B	1	10032957	10181238
KIF1B	1	10210569	10381603
PGD	1	10399063	10420511
CENPS	1	10430432	10442808
CORT	1	10450030	10451998
DFFA	1	10456521	10472529
PEX14	1	10474949	10630758
CASZ1	1	10636605	10796646
TARDBP	1	11012653	11025492
MASP2	1	11026522	11047239
SRM	1	11054589	11060018
EXOSC10	1	11066618	11099869
MTOR	1	11106534	11262551
UBIAD1	1	11273197	11299571
DISP3	1	11479154	11537551
FBXO2	1	11648386	11654429
FBXO44	1	11654406	11663327
FBXO6	1	11664199	11674352
MAD2L2	1	11674479	11691621
DRAXIN	1	11691709	11725857
AGTRAP	1	11736084	11750771
MTHFR	1	11785725	11805964
CLCN6	1	11806095	11843144
NPPB	1	11857463	11858945
KIAA2013	1	11919590	11926427
PLOD1	1	11934716	11975537
MFN2	1	11980180	12013515
MIIP	1	12019497	12032045
TNFRSF8	1	12063302	12144207
TNFRSF1B	1	12166990	12209220
VPS13D	1	12230029	12512046
DHRS3	1	12567909	12618210
PDPN	1	13583756	13617957
PRDM2	1	13700187	13825079
KAZN	1	14598684	15118043
TMEM51-AS1	1	15111814	15152464
TMEM51	1	15152531	15220478
FHAD1	1	15247224	15398127
EFHD2	1	15409887	15430339
CTRC	1	15438442	15449242
CELA2A	1	15456731	15472091
CASP9	1	15491400	15524790
DNAJC16	1	15526812	15571733
AGMAT	1	15571698	15585051
DDI2	1	15617457	15669044
PLEKHM2	1	15684319	15734769
SLC25A34	1	15736257	15741392
TMEM82	1	15742498	15747982
FBLIM1	1	15756637	15786589
UQCRHL	1	15807161	15807699
SPEN	1	15847706	15940456
ZBTB17	1	15941868	15976132
SRARP	1	16004235	16008807
HSPB7	1	16014028	16019594
CLCNKA	1	16022035	16034050
CLCNKB	1	16043781	16057326
FAM131C	1	16057768	16073651
EPHA2	1	16124336	16156069
ARHGEF19	1	16197853	16212652
CPLANE2	1	16231691	16237183
FBXO42	1	16246839	16352480
SZRD1	1	16367241	16398145
SPATA21	1	16395680	16437424
NECAP2	1	16440671	16460089
LINC01772	1	16460947	16468481
NBPF1	1	16562322	16613564
CROCC	1	16921930	16972960
MFAP2	1	16974503	16981586
ATP13A2	1	16985957	17011928
SDHB	1	17018725	17054032
PADI2	1	17066760	17119451
PADI4	1	17308196	17364004
RCC2	1	17406759	17439677
ARHGEF10L	1	17539697	17697875
ACTL8	1	17755332	17827063
IGSF21	1	18107797	18378483
KLHDC7A	1	18480929	18485986
ALDH4A1	1	18871429	18902799
IFFO2	1	18904279	18956676
UBR4	1	19074510	19210266
EMC1	1	19215660	19251524
MRTO4	1	19251804	19260128
AKR7A3	1	19282572	19288770
AKR7A2	1	19302707	19312146
CAPZB	1	19338774	19485539
NBL1	1	19643228	19658456
TMCO4	1	19682212	19799916
RNF186	1	19814028	19815283
OTUD3	1	19882394	19912944
PLA2G2A	1	19975430	19980434
PLA2G5	1	20070193	20091911
PLA2G2D	1	20111940	20119566
PLA2G2F	1	20139322	20150381
UBXN10	1	20186095	20196050
CAMK2N1	1	20482390	20486210
MUL1	1	20499447	20508151
CDA	1	20589096	20618903
PINK1	1	20633457	20651511
PINK1-AS	1	20642656	20652193
DDOST	1	20651777	20661369
KIF17	1	20664013	20718007
SH2D5	1	20719730	20732703
HP1BP3	1	20740265	20787307
EIF4G3	1	20806291	21176897
ECE1	1	21217249	21345504
NBPF3	1	21440136	21484900
ALPL	1	21508983	21578410
RAP1GAP	1	21596220	21669357
USP48	1	21678298	21783199
LDLRAD2	1	21812264	21825223
HSPG2	1	21822243	21937310
CELA3B	1	21977021	21989354
CELA3A	1	22001656	22012542
LINC01635	1	22023993	22026048
CDC42	1	22052708	22101360
WNT4	1	22117312	22143097
ZBTB40	1	22451850	22531157
C1QA	1	22636627	22639682
C1QC	1	22643632	22648108
C1QB	1	22653235	22661636
EPHB2	1	22710837	22921500
KDM1A	1	23019467	23083689
LUZP1	1	23084022	23168858
HTR1D	1	23191894	23217502
LINC01355	1	23281308	23285518
HNRNPR	1	23304689	23344284
ZNF436	1	23359447	23369836
ZNF436-AS1	1	23368970	23371837
TCEA3	1	23380908	23424748
ASAP3	1	23428562	23484179
E2F2	1	23506437	23531233
ID3	1	23557925	23559501
MDS2	1	23627333	23640568
RPL11	1	23691778	23696835
ELOA	1	23743365	23762059
ELOA-AS1	1	23760381	23778297
PITHD1	1	23778417	23788232
LYPLA2	1	23791144	23795539
GALE	1	23795598	23800754
HMGCL	1	23801876	23825459
FUCA1	1	23845080	23868290
PNRC2	1	23959827	23963459
SRSF10	1	23964346	23980327
MYOM3	1	24056040	24112135
IL22RA1	1	24119770	24143140
IFNLR1	1	24154171	24187289
GRHL3	1	24319356	24364480
STPG1	1	24356998	24415097
NIPAL3	1	24413486	24472983
RCAN3	1	24502343	24541040
NCMAP	1	24556086	24609327
SRRM1	1	24643301	24673281
CLIC4	1	24745446	24844319
RUNX3	1	24899510	24965010
SYF2	1	25222275	25232502
RSRP1	1	25242236	25338254
TMEM50A	1	25338333	25362361
RHCE	1	25362248	25420914
MACO1	1	25430857	25500207
LDLRAP1	1	25543605	25568886
MAN1C1	1	25616790	25784449
SELENON	1	25800192	25818221
MTFR1L	1	25819905	25832942
AUNIP	1	25831912	25859458
PAQR7	1	25861483	25875708
STMN1	1	25884178	25906877
PAFAH2	1	25959766	25998063
EXTL1	1	26021774	26036463
SLC30A2	1	26037251	26046118
PDIK1L	1	26111164	26125555
FAM110D	1	26159078	26163962
ZNF593	1	26169907	26170873
CNKSR1	1	26177490	26189884
CEP85	1	26234199	26278808
SH3BGRL3	1	26280085	26281522
UBXN11	1	26282281	26318265
CD52	1	26317957	26320523
CRYBG2	1	26321858	26354130
ZNF683	1	26361633	26372794
DHDDS	1	26432281	26471304
HMGN2	1	26472439	26476642
RPS6KA1	1	26529760	26575025
ARID1A	1	26696014	26782104
PIGV	1	26787053	26800659
ZDHHC18	1	26826687	26857604
SFN	1	26863148	26864456
GPN2	1	26876131	26890283
GPATCH3	1	26890487	26900467
NR0B2	1	26911488	26913975
NUDC	1	26921742	26946871
KDF1	1	26949561	26960468
TRNP1	1	26993691	27000886
TENT5B	1	27005019	27012850
SLC9A1	1	27098808	27155125
WDTC1	1	27234631	27308636
TMEM222	1	27322144	27336400
SYTL1	1	27342021	27353932
MAP3K6	1	27355183	27366961
FCN3	1	27369109	27374852
CD164L2	1	27379175	27383333
GPR3	1	27392621	27395813
WASF2	1	27404229	27490167
AHDC1	1	27534244	27604144
FGR	1	27612063	27635185
IFI6	1	27666063	27672192
FAM76A	1	27725960	27763116
STX12	1	27773218	27824443
PPP1R8	1	27830781	27851675
THEMIS2	1	27872542	27886685
RPA2	1	27891525	27914797
SMPDL3B	1	27934954	27959152
XKR8	1	27959972	27968093
EYA3	1	27970343	28088637
PTAFR	1	28147165	28193936
DNAJC8	1	28200278	28233029
ATP5IF1	1	28236090	28238105
SESN2	1	28259517	28282491
MED18	1	28329039	28335965
PHACTR4	1	28369739	28500364
RCC1	1	28506042	28538989
TRNAU1AP	1	28553016	28578545
SNHG12	1	28578537	28582983
RAB42	1	28592264	28596666
TAF12	1	28602849	28643067
GMEB1	1	28668783	28719352
YTHDF2	1	28736620	28769775
EPB41	1	28887090	29120046
TMEM200B	1	29119424	29123903
SRSF4	1	29147744	29181900
MECR	1	29192656	29230934
PTPRU	1	29236521	29326800
MATN1	1	30711276	30723585
MATN1-AS1	1	30718771	30726746
LAPTM5	1	30732468	30757774
LINC01778	1	30824651	30834284
SDC3	1	30869465	30908758
PUM1	1	30931505	31065717
NKAIN1	1	31179744	31239887
SNRNP40	1	31259567	31296788
ZCCHC17	1	31296981	31364953
FABP3	1	31365252	31373288
SERINC2	1	31409776	31434680
TINAGL1	1	31576484	31587686
PEF1	1	31629861	31644876
COL16A1	1	31652263	31704017
ADGRB2	1	31727116	31764340
SPOCD1	1	31790421	31816051
PTP4A2	1	31906420	31938368
KHDRBS1	1	32013867	32060850
TMEM39B	1	32072030	32102866
KPNA6	1	32108055	32176563
TXLNA	1	32179674	32198285
CCDC28B	1	32200594	32205387
IQCC	1	32205670	32208682
DCDC2B	1	32209093	32216196
TMEM234	1	32214476	32222371
EIF3I	1	32221583	32231604
FAM167B	1	32247221	32248856
LCK	1	32251264	32286167
HDAC1	1	32292082	32333626
MARCKSL1	1	32333838	32336233
FAM229A	1	32361269	32362243
TSSK3	1	32362538	32364309
BSDC1	1	32364632	32394441
ZBTB8A	1	32539426	32605941
ZBTB8OS	1	32620822	32650932
RBBP4	1	32651207	32686211
SYNC	1	32679905	32702770
S100PBP	1	32817441	32858879
FNDC5	1	32862267	32872484
HPCA	1	32886490	32894646
TMEM54	1	32894594	32901389
RNF19B	1	32936448	32964809
AK2	1	33007939	33036911
AZIN2	1	33081152	33123492
TRIM62	1	33145398	33182043
ZNF362	1	33256491	33300719
PHC2	1	33323625	33431095
ZSCAN20	1	33472644	33501639
CSMD2	1	33513997	34165842
GJB5	1	34755046	34758512
GJB4	1	34759739	34762327
GJB3	1	34781213	34786364
GJA4	1	34792998	34795747
SMIM12	1	34850361	34859749
DLGAP3	1	34865435	34929650
TMEM35B	1	34981525	34985347
ZMYM6	1	34986165	35031945
ZMYM1	1	35059785	35115858
SFPQ	1	35176377	35193145
ZMYM4	1	35268708	35422058
ZMYM4-AS1	1	35358823	35366077
KIAA0319L	1	35433491	35557403
NCDN	1	35557791	35566779
TFAP2E	1	35573313	35595326
PSMB2	1	35599540	35641526
CLSPN	1	35720212	35769978
AGO4	1	35807635	35857889
AGO1	1	35869807	35930531
AGO3	1	35931104	36072499
TEKT2	1	36084093	36088275
COL8A2	1	36095238	36125222
TRAPPC3	1	36136568	36156053
MAP7D1	1	36156159	36180849
THRAP3	1	36224442	36305356
SH3D21	1	36306367	36321347
EVA1B	1	36322029	36324154
STK40	1	36339627	36385924
LSM10	1	36393435	36397908
OSCP1	1	36417905	36450485
MRPS15	1	36455717	36464384
CSF3R	1	36466042	36483314
ZC3H12A	1	37474579	37484377
MEAF6	1	37489960	37514766
SNIP1	1	37534448	37554293
DNALI1	1	37556939	37566857
GNL2	1	37566811	37595985
RSPO1	1	37611349	37634892
CDCA8	1	37692515	37709719
EPHA10	1	37715975	37765152
MANEAL	1	37794101	37801606
YRDC	1	37802944	37808208
MTF1	1	37809574	37859592
INPP5B	1	37860696	37947057
SF3A3	1	37956979	37990022
FHL3	1	37996769	38005514
UTP11	1	38012733	38024820
POU3F1	1	38043828	38046793
RRAGC	1	38838199	38859772
MYCBP	1	38862489	38873378
RHBDL2	1	38885806	38941830
AKIRIN1	1	38991243	39006065
NDUFS5	1	39026294	39034636
MACF1	1	39084166	39487138
BMP8A	1	39491635	39529869
PABPC4	1	39560815	39576790
HEYL	1	39623434	39639643
HPCAL4	1	39678647	39691485
PPIE	1	39738844	39763914
BMP8B	1	39757181	39788865
OXCT2	1	39769522	39771348
TRIT1	1	39838109	39883511
MYCL	1	39895427	39901917
MFSD2A	1	39955111	39969968
