gene	cohorts	all_detection_differences_intestinal_positive	minimum_detection_difference	maximum_detection_difference	minimum_odds_ratio	maximum_FDR	intestinal_rho_min	intestinal_rho_max	diffuse_rho_min	diffuse_rho_max	concordant_signature_direction
KCNE2	3	TRUE	0.0143353349481645	0.0333402192103995	1.55487556122275	0.0986060976730177	-0.023682746944825	-0.00811183927042548	-0.0823483862874231	-0.0515291855762772	FALSE
KCNE3	3	TRUE	0.167714797136038	0.224106557450669	3.11378766289804	1.99392455891273e-15	0.0736131473871646	0.144056574127286	-0.148437711571662	-0.123720467893824	TRUE
KCNQ1	3	TRUE	0.204241537063723	0.239948864878135	6.25191458991661	1.45468139212962e-28	0.0634815583752467	0.10280944865733	-0.140635246883282	-0.122497353368512	TRUE
