cohort	gene	eligible_patients	median_patient_difference	patients_positive	patients_negative	wilcoxon_p_value	FDR
Cluster-screened	KCNE2	13	0.00420168067226891	8	0	0.0142661867014469	0.0142661867014469
Cluster-screened	KCNE3	13	0.202898550724638	13	0	0.00166169445798351	0.00498508337395053
Cluster-screened	KCNQ1	13	0.0768307856381088	10	2	0.00680165181287544	0.0102024777193132
Original final	KCNE2	16	0.00210084033613445	8	2	0.0190588916017305	0.0190588916017305
Original final	KCNE3	16	0.180805070904691	16	0	0.000482402936961704	0.00144720881088511
Original final	KCNQ1	16	0.0789831667087542	13	1	0.00169627235997648	0.00254440853996471
Orthogonal strict	KCNE2	10	0.0150029147816377	7	0	0.0224942712224497	0.0224942712224497
Orthogonal strict	KCNE3	10	0.148168038324062	10	0	0.00592153702414871	0.0177646110724461
Orthogonal strict	KCNQ1	10	0.0784310833523432	8	1	0.0128512401874965	0.0192768602812448
