gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	comparison	direction	rank_metric
RARRES2	0	8.17049519984025	0.909	0.03	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
PDGFRA	0	8.1297220714059	0.601	0.005	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
MGP	0	8.11940673670429	0.733	0.036	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
ACTA2	0	8.10788954627675	0.746	0.046	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
DDR2	0	8.04229338095557	0.54	0.006	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
IGFBP5	0	8.03891564963936	0.56	0.021	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
SERPINE2	0	7.9354401450578	0.724	0.056	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
THY1	0	7.91202471143629	0.859	0.01	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
NDUFA4L2	0	7.90887875952861	0.609	0.034	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
PCOLCE	0	7.88292316995835	0.839	0.021	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
TAGLN	0	7.88095534627151	0.73	0.044	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
