gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	comparison	direction	rank_metric
EZR	0	-3.2717785708424	0.419	0.853	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
CYSTM1	0	-3.26273700850037	0.617	0.903	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
KRT8	0	-3.00774552405376	0.975	0.987	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
PHLDA2	0	-2.91262810909198	0.464	0.891	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
KRT18	0	-2.57401132857016	0.968	0.979	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
MT-CO2	0	-2.45835134215568	0.836	0.992	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
LGALS3	0	-2.38862239344779	0.935	0.948	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
MT-ND1	0	-2.18594748924964	0.808	0.97	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
MT-CO3	0	-2.14553624208484	0.76	0.986	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
MT-CO1	0	-1.94117697618771	0.845	0.991	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
