pathway	pval	padj	log2err	ES	NES	size	leadingEdge	enriched_in	abs_NES
HALLMARK_HEDGEHOG_SIGNALING	0.0992	0.215652173913043	0.178219874951973	0.704877301689638	1.32350814416661	35	THY1;DPYSL2;SCG2;NRP2;VEGFA;NRP1;CRMP1;VLDLR;UNC5C;PML;HEY2	Selected Diffuse/EMT clusters	1.32350814416661
HALLMARK_MTORC1_SIGNALING	0.104761904761905	0.216666666666667	0.147331213699377	0.527857678036238	1.2147786947598	196	PLOD2;NUPR1;BCAT1;SLC2A3;SERPINH1;P4HA1;IGFBP5;LDHA;SEC11A;PGK1;DDIT4;AK4;STC1;TPI1;MLLT11;ELOVL5;HSP90B1;GAPDH;EGLN3;PGM1;PHGDH;ALDOA;GBE1;HSPA5;ENO1;FADS2;UBE2D3;CCNG1;CANX;GLRX;SSR1;SHMT2;FADS1;CALR;VLDLR;PSMB5;TCEA1;USO1	Selected Diffuse/EMT clusters	1.2147786947598
HALLMARK_IL2_STAT5_SIGNALING	0.108333333333333	0.216666666666667	0.144630528034484	0.526626829091075	1.21344819763877	198	COL6A1;SLC2A3;P4HA1;PLIN2;IFITM3;ECM1;PRNP;ITIH5;PRAF2;CKAP4;RNH1;PLPP1;GABARAPL1;GLIPR2;GSTO1;RORA;BMPR2;ITGAV;PHLDA1;SPP1;GADD45B;DENND5A;GUCY1B1;CSF1;MAP3K8;ADAM19;TNFRSF9;NRP1;APLP1;CDKN1C;SYT11;FAH;ST3GAL4;TWSG1;NT5E;FLT3LG;IL1RL1;PIM1;NDRG1;F2RL2;EEF1AKMT1;LRRC8C;PHTF2;TGM2;TNFRSF8;SLC1A5	Selected Diffuse/EMT clusters	1.21344819763877
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.124199404247657	0.238845008168572	0.287805130535564	-0.416381475738392	-1.10619658338603	195	KRT18;KRT8;TFF1;LAD1;SFN;CLDN7;ELF3;TFF3;ABLIM1;AREG;TJP3;SLC37A1;KRT19;ITPK1;MLPH;MUC1;AKAP1;ABHD2;TOB1;BLVRB;CCND1;SCNN1A;ESRP2;KLF4;RAB17;FASN;BAG1;SYBU;TMEM164;SULT2B1;TTC39A;TMPRSS3;HR;WWC1;OVOL2;AQP3;FKBP4;FRK;RAPGEFL1;FLNB;RRP12;TIPARP;SLC27A2;SLC7A5;CHPT1;RETREG1;ISG20L2;IL17RB;DEPTOR;KCNK5;MYB;SCARB1;FDFT1;SLC22A5;CANT1;SIAH2;MREG	Selected Intestinal clusters	1.10619658338603
HALLMARK_SPERMATOGENESIS	0.142857142857143	0.264550264550265	0.231126709673834	-0.462043585582096	-1.15427237243401	111	MAP7;SLC12A2;CDKN3;TNNI3;STRBP;CCNB2;AURKA;EZH2;CDK1;ARL4A;NEK2;DBF4;YBX2;NCAPH;KIF2C;MAST2;CLPB;CFTR;BUB1;TTK;GAD1;IDE;TOPBP1;MTOR;PRKAR2A;ACRBP;ACE;LPIN1	Selected Intestinal clusters	1.15427237243401
HALLMARK_MITOTIC_SPINDLE	0.153374233128834	0.273882559158633	0.287857117255149	-0.411189677865685	-1.09631951986511	197	EZR;ACTN4;NET1;ARHGAP27;RHOF;CD2AP;TUBA4A;MYO1E;CENPF;ECT2;TPX2;NUSAP1;LRPPRC;BIRC5;TOP2A;MAP3K11;CCNB2;AURKA;CDK1;NEDD9;FGD4;PLK1;CDC42EP4;ARF6;SSH2;EPB41;FLNB;NEK2;PRC1;ANLN;KIF20B;CENPE;DLGAP5;KIF2C;RACGAP1;RHOT2;KIF23;INCENP;ATG4B;MAP1S;PCGF5;BUB1;KIF4A;TTK;KIF15;KIF11;RALBP1;MID1;ABR;SPTBN1;SPTAN1;PCNT;SMC1A;ARFGEF1;SAC3D1;SMC4;KIF5B;TUBGCP6;BCL2L11;AKAP13;DLG1;TUBGCP3;ESPL1;KPTN;KIF3B;CKAP5;BCAR1;ARHGEF11;BCR;OPHN1	Selected Intestinal clusters	1.09631951986511
HALLMARK_PROTEIN_SECRETION	0.182825484764543	0.304709141274238	0.117249716749792	0.556547265414243	1.18509552246016	95	BNIP3;CD63;LMAN1;SSPN;CAV2;SEC31A;TMED2;PAM;ABCA1;AP2M1;LAMP2;AP2S1;AP3S1;SCAMP1;VAMP3;SEC22B;RAB2A;SNX2;COPB1;SEC24D;SNAP23;USO1;PPT1	Selected Diffuse/EMT clusters	1.18509552246016
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.178571428571429	0.304709141274238	0.108820126769161	0.500907575752297	1.15418615498435	198	SERPINE1;CCL2;SLC2A3;IL6ST;TNFAIP6;MARCKS;MSC;ICAM1;GFPT2;PTX3;IL6;ACKR3;PNRC1;SOD2;ABCA1;TNC;EIF1;SERPINB2;DNAJB4;DRAM1;DUSP1;VEGFA;NINJ1;PLAU;SPHK1;INHBA;RCAN1;PHLDA1;GADD45B;DENND5A;CSF1;MAP3K8;TNFRSF9;G0S2;SGK1;SOCS3;ID2;PLAUR;PLPP3;KLF9;BTG3;CEBPD;ZBTB10;IFNGR2;FJX1;JUN;CDKN1A;IFIT2;PTGS2;F3;TANK;PDE4B;CXCL6;NAMPT;PANX1	Selected Diffuse/EMT clusters	1.15418615498435
HALLMARK_KRAS_SIGNALING_UP	0.19047619047619	0.307219662058372	0.104732821580651	0.499391404615047	1.14926819086807	196	GYPC;CFH;CPE;IGFBP3;CFB;PLAT;GNG11;ANGPTL4;SPARCL1;GFPT2;ENG;GPNMB;TMEM176B;PCSK1N;ALDH1A3;DCBLD2;TMEM176A;TFPI;HSD11B1;SCG5;LY96;AKAP12;MMP11;PLAU;INHBA;SPP1;TMEM158;MMD;PRRX1;ADGRA2;NRP1;ETS1;TMEM100;G0S2;IL33;ITGBL1;GLRX;GUCY1A1;ID2;PLAUR;PDCD1LG2	Selected Diffuse/EMT clusters	1.14926819086807
HALLMARK_ADIPOGENESIS	0.284185493460166	0.44403983353151	0.0815265143256594	0.47182031486236	1.08605471535097	195	CAVIN1;C3;RAB34;LAMA4;PLIN2;ANGPTL4;SPARCL1;HSPB8;APOE;ITIH5;SSPN;CD151;CAVIN2;PGM1;ABCA1;COL4A1;ALDOA;GBE1;SNCG;PTGER3;STOM;RTN3;MYLK;DHRS7;COL15A1;DNAJB9;PHLDB1;REEP5;UBC;GPX3;SULT1A1;ENPP2;ANGPT1;RNF11;LTC4S;FAH	Selected Diffuse/EMT clusters	1.08605471535097
