gene	state	cells	expressing_cells	non_expressing_cells	detection_fraction	raw_transcripts	mean_raw_count_all_cells	mean_raw_count_expressing_cells	fisher_odds_ratio	fisher_p_value	fisher_FDR
KCNE2	Intestinal-like	4170	172	3998	0.0412470023980815	316	0.075779376498801	1.83720930232558	5.39670833140489	3.46314242274162e-17	3.46314242274162e-17
KCNE2	Diffuse/EMT-like	2403	19	2384	0.00790678318768206	54	0.0224719101123596	2.84210526315789	5.39670833140489	3.46314242274162e-17	3.46314242274162e-17
KCNE3	Intestinal-like	4170	1174	2996	0.281534772182254	2282	0.547242206235012	1.94378194207836	6.42963364011674	9.00928504818299e-123	1.35139275722745e-122
KCNE3	Diffuse/EMT-like	2403	138	2265	0.0574282147315855	190	0.0790678318768206	1.3768115942029	6.42963364011674	9.00928504818299e-123	1.35139275722745e-122
KCNQ1	Intestinal-like	4170	1070	3100	0.256594724220624	1714	0.411031175059952	1.6018691588785	20.3878609753901	2.3568006301776e-178	7.07040189053279e-178
KCNQ1	Diffuse/EMT-like	2403	40	2363	0.0166458593424886	46	0.0191427382438618	1.15	20.3878609753901	2.3568006301776e-178	7.07040189053279e-178
