group	n_cells	n_patients	detected_cells	detection_pct	raw_transcripts_total	mean_raw_per_cell	mean_log1p_cp10k	mean_raw_among_detected	mean_log1p_cp10k_among_detected
Primary normal epithelial	5029	5	716	14.237422946907934	1288	0.2561145356929807	0.10491670120351158	1.7988826815642458	0.7369079474196367
Tumor diffuse patient	3368	6	262	7.779097387173397	327	0.09709026128266034	0.05332851898211105	1.248091603053435	0.6855360760753819
Tumor intestinal patient	20448	14	2259	11.047535211267606	3300	0.1613849765258216	0.08110871984643565	1.4608233731739708	0.734179328649808
